ProductID,Type,SKU,Name,Description,Industry,Category,Brand,Image,Wholesale Price,MAP Price,Price,Sale Price,MSRP,Weight,Height,Width,Length
,product,2147-1,Mayville Collection,"Traditional in design and modest in scale, the elegant Mayville Collection takes its design inspiration from the classic Louis Philippe styling. Featuring four distinct finishes – burnished brown cherry, white, black, and the newly offered stained grey – with all of the traditional flare unique to the style – antiqued metal bale hardware and distinct framing – this collection is a perfect addition to your traditional adult or youth bedroom.",furniture,Bedroom > Bedroom Groups,Homelegance,https://s3-us-west-1.amazonaws.com/homelegance/Images_MidRes_For+Customer+Advertisement/2147-1.jpg,0,0,659,0,0,,,,
,product,2159-1,Cumberland Collection,"A classic addition to your transitional bedroom will be the Cumberland Collection. Traditional accents such as, the bun foot that supports each piece and rich medium brown finish on birch veneer, and selected hardwood blend with framing and lines that compliment your personal style. Hidden drawer storages in the night stand and dresser are a clever way to hide your valuables. The newly offered twin and full beds allow for placement that compliments both youth and modestly scaled spaces.",furniture,Bedroom > Bedroom Groups,Homelegance,https://s3-us-west-1.amazonaws.com/homelegance/Images_MidRes_For+Customer+Advertisement/2159-1.jpg,0,0,2049,0,0,,,,
,product,2145-1,Edina Collection,"Enhancing the contemporary design of your bedroom is the focus of the Edina Collection. The espresso-hinted cherry finish builds on the unexaggerated lines of this bedroom suite, blended with the tufted bi-cast vinyl inserts on the headboard and the polished nickel finishedÂ hardware, culminates to achieve the modern look. Whether it is a hard contemporary or a softer transitional feel, your décor design options are wide open with this classic bedroom collection.",furniture,Bedroom > Bedroom Groups,Homelegance,https://s3-us-west-1.amazonaws.com/homelegance/Images_MidRes_For+Customer+Advertisement/2145-1.jpg,0,0,659,0,0,,,,
,product,1869-1,Mill Valley Collection,"When looking to furnish your traditional home, you choose pieces that are timeless. The classic look of the cherry finished Mont Belvieu Collection will allow you to fulfill your design desire. Pairing the panel bed of the collection with the traditional look of Louis Philippe styling, instantly creates a classic look to your bedroom. Carved finials and squared pilasters provide traditional accent to the bed as does the shell and scroll motif of the headboard and footboard that carries over to the collection's mirror.",furniture,Bedroom > Bedroom Groups,Homelegance,https://s3-us-west-1.amazonaws.com/homelegance/Images_MidRes_For+Customer+Advertisement/1869-1.jpg,0,0,1489,0,0,,,,
,product,1916-1,Allura Collection,"Glamour reigns in the design of the Allura Collection. Framing each piece is a decorative beveled mirror accent that enhances the illumination from the touch-engaged LED back-light of the headboard and mirror, as well as the under-light of the night stand. Alligator embossing and high polished crystal-enhanced hardware boldly accent the silver finish of the collection.",furniture,Bedroom > Bedroom Groups,Homelegance,https://s3-us-west-1.amazonaws.com/homelegance/Images_MidRes_For+Customer+Advertisement/1916-1.jpg,0,0,1879,0,0,,,,
,product,1856-1,Abbeville Collection,"The ever popular Louis Philippe style is updated with functional accoutrements in the Abbeville Collection. Button and bale hardware grace the drawer fronts of each piece in the collection, while unbeknownst to the casual observer, there is hidden drawer storage on the nightstand, dresser and chest – each easily accessible with a pull of the front top frame. The sleigh bed furthers the timeless look of this adult collection, as well as youth. Okume veneers are elegantly highlighted with a traditional brown cherry finish.",furniture,Bedroom > Bedroom Groups,Homelegance,https://s3-us-west-1.amazonaws.com/homelegance/Images_MidRes_For+Customer+Advertisement/1856-1.jpg,0,0,679,0,0,,,,
,product,2259GY-1,Bethel Collection,"An updated classic addition to your transitional bedroom will be the Bethel Collection. Traditional accents, such as, turned bun feet that support each piece, and a gray, lightly wire-brushed finish on birch veneer and selected hardwoods, blend with framing and lines that compliment your personal style. Hidden drawer storages in the night stand and dresser are a clever way to hide your valuables.",furniture,Bedroom > Bedroom Groups,Homelegance,https://s3-us-west-1.amazonaws.com/homelegance/Images_MidRes_For+Customer+Advertisement/2259GY-1.jpg,0,0,1979,0,0,,,,
,product,1844DC-1,Eunice Collection,Traditional aesthetic doesn-t always have to be grand in scale or accent to achieve a timeless look. The Eunice Collection takes the form of traditional case pieces and utilizes an espresso finish and understated knob hardware to create bedrooms style that can range from transitional to cottage. Recessed framing carries over from the design of the headboard to the drawer fronts of the case pieces and storage footboard.,furniture,Bedroom > Bedroom Groups,Homelegance,https://s3-us-west-1.amazonaws.com/homelegance/Images_MidRes_For+Customer+Advertisement/1844DC-1.jpg,0,0,1589,0,0,,,,
,product,1714BK-1,Laurelin Collection,"Casual transitional styling lends versatility to the placement of the Laurelin Collection in a number of bedroom settings. Black and White sand-through finishes are available creating distinctly different looks from traditional to country casual, with antiqued bronze knob hardware punctuating the look of each framed drawer front. Hidden drawers in the nightstand and dresser provide discrete storage for your valuables, while the storage drawers of the footboard provide a more visible means of additional storage capability. Bun feet support the case goods and a sleigh headboard finish off the transitional design of the collection.",furniture,Bedroom > Bedroom Groups,Homelegance,https://s3-us-west-1.amazonaws.com/homelegance/Images_MidRes_For+Customer+Advertisement/1714BK-1.jpg,0,0,1539,0,0,,,,
,product,2147BK-1,Mayville Collection,"Traditional in design and modest in scale, the elegant Mayville Collection takes its design inspiration from the classic Louis Philippe styling. Featuring four distinct finishes – burnished brown cherry, white, black, and the newly offered stained grey – with all of the traditional flare unique to the style – antiqued metal bale hardware and distinct framing – this collection is a perfect addition to your traditional adult or youth bedroom.",furniture,Bedroom > Bedroom Groups,Homelegance,https://s3-us-west-1.amazonaws.com/homelegance/Images_MidRes_For+Customer+Advertisement/2147BK.jpg,0,0,799,0,0,,,,
